column1,column2,column3,column4,column5,column6
220671,27284.38,0.0,0.0,9251.19,18033.19
016641,27279.35,3000.73,0.0,10126.64,20153.44
055387,27279.35,0.0,0.0,8383.92,18895.43
076686,27278.46,0.0,0.0,9248.97,18029.49
040525,27262.72,0.0,0.0,7906.56,19356.16
042391,27182.72,0.0,0.0,1964.07,25218.65
035963,27143.86,0.0,0.0,7864.39,19279.47
037044,27143.86,0.0,0.0,7812.26,19331.6
038075,27143.86,0.0,0.0,10844.29,16299.57
038199,27143.86,0.0,0.0,1959.8,25184.06
042218,27143.86,0.0,0.0,7812.26,19331.6
044628,27143.86,0.0,0.0,1959.8,25184.06
045781,27143.86,0.0,0.0,13277.58,13866.28
046124,27143.86,0.0,0.0,8407.27,18736.59
047279,27143.86,0.0,0.0,7812.26,19331.6
048739,27143.86,0.0,0.0,2502.68,24641.18
051861,27143.86,0.0,0.0,8283.71,18860.15
052639,27143.86,0.0,0.0,9146.39,17997.47
053805,27143.86,0.0,0.0,8387.99,18755.87
054747,27143.86,0.0,0.0,8930.87,18212.99
055361,27143.86,0.0,0.0,7864.39,19279.47
056618,27143.86,0.0,0.0,7812.26,19331.6
057452,27143.86,2985.82,0.0,10071.76,20057.92
058165,27143.86,0.0,0.0,8335.85,18808.01
058289,27143.86,2985.82,0.0,10123.9,20005.78
059544,27143.86,0.0,0.0,9198.53,17945.33
064084,27143.86,2985.82,0.0,10071.76,20057.92
064386,27143.86,0.0,0.0,9250.66,17893.2
071609,27143.86,2985.82,0.0,10071.76,20057.92
075701,27143.86,2985.82,0.0,16677.1,13452.58
081361,27143.86,2985.82,0.0,10123.9,20005.78
081990,27143.86,2985.82,0.0,10123.9,20005.78
087491,27143.86,2985.82,0.0,10019.63,20110.05
089150,27143.86,301.6,0.0,9299.87,18145.59
111287,27143.86,2985.82,0.0,10123.9,20005.78
119644,27143.86,0.0,0.0,9250.66,17893.2
122416,27143.86,0.0,0.0,9198.53,17945.33
146439,27143.86,2985.82,0.0,10123.9,20005.78
179418,27143.86,2985.82,0.0,10123.9,20005.78
204722,27143.86,0.0,0.0,8355.14,18788.72
222828,27143.86,0.0,0.0,9250.66,17893.2
050466,27100.76,2981.08,0.0,9177.17,20904.67
040193,27007.11,0.0,0.0,8356.02,18651.09
043095,27007.11,0.0,0.0,8303.89,18703.22
055549,27007.11,0.0,0.0,8287.34,18719.77
